nw,time,chunk
1,29182.6,-10
1,28681.2,-10
1,29255.6,-10
1,29216.9,-10
1,29231.8,-10
1,28944.6,0
1,29260.5,0
1,29315.9,0
1,28575.7,0
1,29477,0
1,29199.3,10
1,29327.8,10
1,29230.6,10
1,29237.9,10
1,29218.9,10
4,9011.49,-10
4,8998.44,-10
4,9379.41,-10
4,9000.18,-10
4,9002,-10
4,9004.89,0
4,9000.66,0
4,9008.58,0
4,9015.82,0
4,9005.37,0
4,8999.55,10
4,9003.92,10
4,9005.29,10
4,8997.74,10
4,9008.07,10
16,3891.54,-10
16,3889.54,-10
16,3893.37,-10
16,3893.53,-10
16,3890.86,-10
16,3915.8,0
16,3897.67,0
16,3895.61,0
16,3894.56,0
16,3886.88,0
16,3886.49,10
16,3887.26,10
16,3886.22,10
16,3892.05,10
16,3891.95,10
64,2762.41,-10
64,2704.63,-10
64,2761.67,-10
64,2711.19,-10
64,2742.77,-10
64,2928.82,0
64,2932.17,0
64,2873.54,0
64,2857.83,0
64,3072.5,0
64,2795.95,10
64,2832.83,10
64,2839.39,10
64,2841.64,10
64,2880.11,10
256,3077.48,-10
256,3046.97,-10
256,3091.93,-10
256,3113.82,-10
256,3065.3,-10
256,3057.6,0
256,3070.05,0
256,3053.17,0
256,3081.49,0
256,3065.73,0
256,3157.91,10
256,3131.18,10
256,3065.39,10
256,3112.22,10
256,3049.37,10
